17/02/06-23:10:06 | Phase 1 | BEGIN | Parameter initialization
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 14
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00506363636363634, 0.00992727272727271, 0.0147909090909091, 0.0196545454545454, 0.0245181818181818, 0.0293818181818182, 0.0342454545454545, 0.0391090909090909, 0.0439727272727273, 0.0488363636363636, 0.0537, 0.0585636363636363, 0.0634272727272727, 0.0682909090909091, 0.0731545454545454, 0.0780181818181818, 0.0828818181818182, 0.0877454545454545, 0.0926090909090909, 0.0974727272727273, 0.102336363636364, 0.1072, 0.112063636363636, 0.116927272727273, 0.121790909090909, 0.126654545454545, 0.131518181818182, 0.136381818181818, 0.141245454545455, 0.146109090909091, 0.150972727272727, 0.155836363636364, 0.1607, 0.165563636363636, 0.170427272727273, 0.175290909090909, 0.180154545454545, 0.185018181818182, 0.189881818181818, 0.194745454545455, 0.199609090909091, 0.204472727272727, 0.209336363636364, 0.2142, 0.219063636363636, 0.223927272727273, 0.228790909090909, 0.233654545454545, 0.238518181818182, 0.243381818181818, 0.248245454545455, 0.253109090909091, 0.257972727272727, 0.262836363636364, 0.2677, 0.272563636363636, 0.277427272727273, 0.282290909090909, 0.287154545454545, 0.292018181818182, 0.296881818181818, 0.301745454545455, 0.306609090909091, 0.311472727272727, 0.316336363636364, 0.3212, 0.326063636363636, 0.330927272727273, 0.335790909090909, 0.340654545454545, 0.345518181818182, 0.350381818181818, 0.355245454545455, 0.360109090909091, 0.364972727272727, 0.369836363636364, 0.3747, 0.379563636363636, 0.384427272727273, 0.389290909090909, 0.394154545454545, 0.399018181818182, 0.403881818181818, 0.408745454545455, 0.413609090909091, 0.418472727272727, 0.423336363636364, 0.4282, 0.433063636363636, 0.437927272727273, 0.442790909090909, 0.447654545454545, 0.452518181818182, 0.457381818181818, 0.462245454545455, 0.467109090909091, 0.471972727272727, 0.476836363636364, 0.4817
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 15
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00523282828282826, 0.0102656565656565, 0.0152984848484848, 0.0203313131313131, 0.0253641414141414, 0.0303969696969697, 0.035429797979798, 0.0404626262626262, 0.0454954545454545, 0.0505282828282828, 0.0555611111111111, 0.0605939393939394, 0.0656267676767677, 0.0706595959595959, 0.0756924242424242, 0.0807252525252525, 0.0857580808080808, 0.0907909090909091, 0.0958237373737374, 0.100856565656566, 0.105889393939394, 0.110922222222222, 0.11595505050505, 0.120987878787879, 0.126020707070707, 0.131053535353535, 0.136086363636364, 0.141119191919192, 0.14615202020202, 0.151184848484848, 0.156217676767677, 0.161250505050505, 0.166283333333333, 0.171316161616162, 0.17634898989899, 0.181381818181818, 0.186414646464646, 0.191447474747475, 0.196480303030303, 0.201513131313131, 0.20654595959596, 0.211578787878788, 0.216611616161616, 0.221644444444444, 0.226677272727273, 0.231710101010101, 0.236742929292929, 0.241775757575758, 0.246808585858586, 0.251841414141414, 0.256874242424242, 0.261907070707071, 0.266939898989899, 0.271972727272727, 0.277005555555556, 0.282038383838384, 0.287071212121212, 0.29210404040404, 0.297136868686869, 0.302169696969697, 0.307202525252525, 0.312235353535354, 0.317268181818182, 0.32230101010101, 0.327333838383838, 0.332366666666667, 0.337399494949495, 0.342432323232323, 0.347465151515152, 0.35249797979798, 0.357530808080808, 0.362563636363636, 0.367596464646465, 0.372629292929293, 0.377662121212121, 0.382694949494949, 0.387727777777778, 0.392760606060606, 0.397793434343434, 0.402826262626263, 0.407859090909091, 0.412891919191919, 0.417924747474747, 0.422957575757576, 0.427990404040404, 0.433023232323232, 0.438056060606061, 0.443088888888889, 0.448121717171717, 0.453154545454545, 0.458187373737374, 0.463220202020202, 0.46825303030303, 0.473285858585859, 0.478318686868687, 0.483351515151515, 0.488384343434343, 0.493417171717172, 0.49845
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 16
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00516060606060604, 0.0101212121212121, 0.0150818181818182, 0.0200424242424242, 0.0250030303030303, 0.0299636363636363, 0.0349242424242424, 0.0398848484848485, 0.0448454545454545, 0.0498060606060606, 0.0547666666666667, 0.0597272727272727, 0.0646878787878788, 0.0696484848484848, 0.0746090909090909, 0.079569696969697, 0.084530303030303, 0.0894909090909091, 0.0944515151515151, 0.0994121212121212, 0.104372727272727, 0.109333333333333, 0.114293939393939, 0.119254545454545, 0.124215151515152, 0.129175757575758, 0.134136363636364, 0.13909696969697, 0.144057575757576, 0.149018181818182, 0.153978787878788, 0.158939393939394, 0.1639, 0.168860606060606, 0.173821212121212, 0.178781818181818, 0.183742424242424, 0.18870303030303, 0.193663636363636, 0.198624242424242, 0.203584848484848, 0.208545454545455, 0.213506060606061, 0.218466666666667, 0.223427272727273, 0.228387878787879, 0.233348484848485, 0.238309090909091, 0.243269696969697, 0.248230303030303, 0.253190909090909, 0.258151515151515, 0.263112121212121, 0.268072727272727, 0.273033333333333, 0.277993939393939, 0.282954545454545, 0.287915151515152, 0.292875757575758, 0.297836363636364, 0.30279696969697, 0.307757575757576, 0.312718181818182, 0.317678787878788, 0.322639393939394, 0.3276, 0.332560606060606, 0.337521212121212, 0.342481818181818, 0.347442424242424, 0.35240303030303, 0.357363636363636, 0.362324242424242, 0.367284848484848, 0.372245454545455, 0.377206060606061, 0.382166666666667, 0.387127272727273, 0.392087878787879, 0.397048484848485, 0.402009090909091, 0.406969696969697, 0.411930303030303, 0.416890909090909, 0.421851515151515, 0.426812121212121, 0.431772727272727, 0.436733333333333, 0.441693939393939, 0.446654545454545, 0.451615151515152, 0.456575757575758, 0.461536363636364, 0.46649696969697, 0.471457575757576, 0.476418181818182, 0.481378787878788, 0.486339393939394, 0.4913
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 17
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.0050722222222222, 0.00994444444444442, 0.0148166666666666, 0.0196888888888889, 0.0245611111111111, 0.0294333333333333, 0.0343055555555555, 0.0391777777777778, 0.04405, 0.0489222222222222, 0.0537944444444444, 0.0586666666666666, 0.0635388888888889, 0.0684111111111111, 0.0732833333333333, 0.0781555555555555, 0.0830277777777778, 0.0879, 0.0927722222222222, 0.0976444444444444, 0.102516666666667, 0.107388888888889, 0.112261111111111, 0.117133333333333, 0.122005555555556, 0.126877777777778, 0.13175, 0.136622222222222, 0.141494444444444, 0.146366666666667, 0.151238888888889, 0.156111111111111, 0.160983333333333, 0.165855555555556, 0.170727777777778, 0.1756, 0.180472222222222, 0.185344444444444, 0.190216666666667, 0.195088888888889, 0.199961111111111, 0.204833333333333, 0.209705555555556, 0.214577777777778, 0.21945, 0.224322222222222, 0.229194444444444, 0.234066666666667, 0.238938888888889, 0.243811111111111, 0.248683333333333, 0.253555555555556, 0.258427777777778, 0.2633, 0.268172222222222, 0.273044444444444, 0.277916666666667, 0.282788888888889, 0.287661111111111, 0.292533333333333, 0.297405555555556, 0.302277777777778, 0.30715, 0.312022222222222, 0.316894444444444, 0.321766666666667, 0.326638888888889, 0.331511111111111, 0.336383333333333, 0.341255555555556, 0.346127777777778, 0.351, 0.355872222222222, 0.360744444444444, 0.365616666666667, 0.370488888888889, 0.375361111111111, 0.380233333333333, 0.385105555555556, 0.389977777777778, 0.39485, 0.399722222222222, 0.404594444444444, 0.409466666666667, 0.414338888888889, 0.419211111111111, 0.424083333333333, 0.428955555555556, 0.433827777777778, 0.4387, 0.443572222222222, 0.448444444444444, 0.453316666666667, 0.458188888888889, 0.463061111111111, 0.467933333333333, 0.472805555555556, 0.477677777777778, 0.48255
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 18
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00505909090909089, 0.0099181818181818, 0.0147772727272727, 0.0196363636363636, 0.0244954545454545, 0.0293545454545454, 0.0342136363636363, 0.0390727272727273, 0.0439318181818182, 0.0487909090909091, 0.05365, 0.0585090909090909, 0.0633681818181818, 0.0682272727272727, 0.0730863636363636, 0.0779454545454545, 0.0828045454545454, 0.0876636363636363, 0.0925227272727273, 0.0973818181818182, 0.102240909090909, 0.1071, 0.111959090909091, 0.116818181818182, 0.121677272727273, 0.126536363636364, 0.131395454545455, 0.136254545454545, 0.141113636363636, 0.145972727272727, 0.150831818181818, 0.155690909090909, 0.16055, 0.165409090909091, 0.170268181818182, 0.175127272727273, 0.179986363636364, 0.184845454545455, 0.189704545454545, 0.194563636363636, 0.199422727272727, 0.204281818181818, 0.209140909090909, 0.214, 0.218859090909091, 0.223718181818182, 0.228577272727273, 0.233436363636364, 0.238295454545455, 0.243154545454545, 0.248013636363636, 0.252872727272727, 0.257731818181818, 0.262590909090909, 0.26745, 0.272309090909091, 0.277168181818182, 0.282027272727273, 0.286886363636364, 0.291745454545455, 0.296604545454545, 0.301463636363636, 0.306322727272727, 0.311181818181818, 0.316040909090909, 0.3209, 0.325759090909091, 0.330618181818182, 0.335477272727273, 0.340336363636364, 0.345195454545455, 0.350054545454545, 0.354913636363636, 0.359772727272727, 0.364631818181818, 0.369490909090909, 0.37435, 0.379209090909091, 0.384068181818182, 0.388927272727273, 0.393786363636364, 0.398645454545455, 0.403504545454545, 0.408363636363636, 0.413222727272727, 0.418081818181818, 0.422940909090909, 0.4278, 0.432659090909091, 0.437518181818182, 0.442377272727273, 0.447236363636364, 0.452095454545455, 0.456954545454545, 0.461813636363636, 0.466672727272727, 0.471531818181818, 0.476390909090909, 0.48125
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 19
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00499898989898988, 0.00979797979797978, 0.0145969696969697, 0.0193959595959596, 0.0241949494949495, 0.0289939393939394, 0.0337929292929293, 0.0385919191919192, 0.0433909090909091, 0.048189898989899, 0.0529888888888889, 0.0577878787878788, 0.0625868686868687, 0.0673858585858586, 0.0721848484848485, 0.0769838383838384, 0.0817828282828283, 0.0865818181818182, 0.0913808080808081, 0.096179797979798, 0.100978787878788, 0.105777777777778, 0.110576767676768, 0.115375757575758, 0.120174747474747, 0.124973737373737, 0.129772727272727, 0.134571717171717, 0.139370707070707, 0.144169696969697, 0.148968686868687, 0.153767676767677, 0.158566666666667, 0.163365656565657, 0.168164646464646, 0.172963636363636, 0.177762626262626, 0.182561616161616, 0.187360606060606, 0.192159595959596, 0.196958585858586, 0.201757575757576, 0.206556565656566, 0.211355555555556, 0.216154545454545, 0.220953535353535, 0.225752525252525, 0.230551515151515, 0.235350505050505, 0.240149494949495, 0.244948484848485, 0.249747474747475, 0.254546464646465, 0.259345454545455, 0.264144444444444, 0.268943434343434, 0.273742424242424, 0.278541414141414, 0.283340404040404, 0.288139393939394, 0.292938383838384, 0.297737373737374, 0.302536363636364, 0.307335353535354, 0.312134343434343, 0.316933333333333, 0.321732323232323, 0.326531313131313, 0.331330303030303, 0.336129292929293, 0.340928282828283, 0.345727272727273, 0.350526262626263, 0.355325252525252, 0.360124242424242, 0.364923232323232, 0.369722222222222, 0.374521212121212, 0.379320202020202, 0.384119191919192, 0.388918181818182, 0.393717171717172, 0.398516161616162, 0.403315151515152, 0.408114141414141, 0.412913131313131, 0.417712121212121, 0.422511111111111, 0.427310101010101, 0.432109090909091, 0.436908080808081, 0.441707070707071, 0.446506060606061, 0.45130505050505, 0.45610404040404, 0.46090303030303, 0.46570202020202, 0.47050101010101, 0.4753
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 20
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00491717171717169, 0.00963434343434341, 0.0143515151515151, 0.0190686868686868, 0.0237858585858586, 0.0285030303030303, 0.033220202020202, 0.0379373737373737, 0.0426545454545454, 0.0473717171717171, 0.0520888888888889, 0.0568060606060606, 0.0615232323232323, 0.066240404040404, 0.0709575757575757, 0.0756747474747475, 0.0803919191919192, 0.0851090909090909, 0.0898262626262626, 0.0945434343434343, 0.099260606060606, 0.103977777777778, 0.108694949494949, 0.113412121212121, 0.118129292929293, 0.122846464646465, 0.127563636363636, 0.132280808080808, 0.13699797979798, 0.141715151515151, 0.146432323232323, 0.151149494949495, 0.155866666666667, 0.160583838383838, 0.16530101010101, 0.170018181818182, 0.174735353535354, 0.179452525252525, 0.184169696969697, 0.188886868686869, 0.19360404040404, 0.198321212121212, 0.203038383838384, 0.207755555555556, 0.212472727272727, 0.217189898989899, 0.221907070707071, 0.226624242424242, 0.231341414141414, 0.236058585858586, 0.240775757575758, 0.245492929292929, 0.250210101010101, 0.254927272727273, 0.259644444444444, 0.264361616161616, 0.269078787878788, 0.27379595959596, 0.278513131313131, 0.283230303030303, 0.287947474747475, 0.292664646464646, 0.297381818181818, 0.30209898989899, 0.306816161616162, 0.311533333333333, 0.316250505050505, 0.320967676767677, 0.325684848484848, 0.33040202020202, 0.335119191919192, 0.339836363636364, 0.344553535353535, 0.349270707070707, 0.353987878787879, 0.35870505050505, 0.363422222222222, 0.368139393939394, 0.372856565656566, 0.377573737373737, 0.382290909090909, 0.387008080808081, 0.391725252525252, 0.396442424242424, 0.401159595959596, 0.405876767676768, 0.410593939393939, 0.415311111111111, 0.420028282828283, 0.424745454545455, 0.429462626262626, 0.434179797979798, 0.43889696969697, 0.443614141414141, 0.448331313131313, 0.453048484848485, 0.457765656565657, 0.462482828282828, 0.4672
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 21
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00498989898989897, 0.00977979797979796, 0.0145696969696969, 0.0193595959595959, 0.0241494949494949, 0.0289393939393939, 0.0337292929292929, 0.0385191919191919, 0.0433090909090909, 0.0480989898989899, 0.0528888888888889, 0.0576787878787879, 0.0624686868686868, 0.0672585858585858, 0.0720484848484848, 0.0768383838383838, 0.0816282828282828, 0.0864181818181818, 0.0912080808080808, 0.0959979797979798, 0.100787878787879, 0.105577777777778, 0.110367676767677, 0.115157575757576, 0.119947474747475, 0.124737373737374, 0.129527272727273, 0.134317171717172, 0.139107070707071, 0.14389696969697, 0.148686868686869, 0.153476767676768, 0.158266666666667, 0.163056565656566, 0.167846464646465, 0.172636363636364, 0.177426262626263, 0.182216161616162, 0.187006060606061, 0.19179595959596, 0.196585858585859, 0.201375757575758, 0.206165656565657, 0.210955555555556, 0.215745454545455, 0.220535353535354, 0.225325252525253, 0.230115151515151, 0.23490505050505, 0.239694949494949, 0.244484848484848, 0.249274747474747, 0.254064646464646, 0.258854545454545, 0.263644444444444, 0.268434343434343, 0.273224242424242, 0.278014141414141, 0.28280404040404, 0.287593939393939, 0.292383838383838, 0.297173737373737, 0.301963636363636, 0.306753535353535, 0.311543434343434, 0.316333333333333, 0.321123232323232, 0.325913131313131, 0.33070303030303, 0.335492929292929, 0.340282828282828, 0.345072727272727, 0.349862626262626, 0.354652525252525, 0.359442424242424, 0.364232323232323, 0.369022222222222, 0.373812121212121, 0.37860202020202, 0.383391919191919, 0.388181818181818, 0.392971717171717, 0.397761616161616, 0.402551515151515, 0.407341414141414, 0.412131313131313, 0.416921212121212, 0.421711111111111, 0.42650101010101, 0.431290909090909, 0.436080808080808, 0.440870707070707, 0.445660606060606, 0.450450505050505, 0.455240404040404, 0.460030303030303, 0.464820202020202, 0.469610101010101, 0.4744
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 22
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00513787878787877, 0.0100757575757576, 0.0150136363636363, 0.0199515151515151, 0.0248893939393939, 0.0298272727272727, 0.0347651515151515, 0.0397030303030303, 0.0446409090909091, 0.0495787878787879, 0.0545166666666666, 0.0594545454545454, 0.0643924242424242, 0.069330303030303, 0.0742681818181818, 0.0792060606060606, 0.0841439393939394, 0.0890818181818182, 0.0940196969696969, 0.0989575757575757, 0.103895454545455, 0.108833333333333, 0.113771212121212, 0.118709090909091, 0.12364696969697, 0.128584848484848, 0.133522727272727, 0.138460606060606, 0.143398484848485, 0.148336363636364, 0.153274242424242, 0.158212121212121, 0.16315, 0.168087878787879, 0.173025757575758, 0.177963636363636, 0.182901515151515, 0.187839393939394, 0.192777272727273, 0.197715151515152, 0.20265303030303, 0.207590909090909, 0.212528787878788, 0.217466666666667, 0.222404545454545, 0.227342424242424, 0.232280303030303, 0.237218181818182, 0.242156060606061, 0.247093939393939, 0.252031818181818, 0.256969696969697, 0.261907575757576, 0.266845454545455, 0.271783333333333, 0.276721212121212, 0.281659090909091, 0.28659696969697, 0.291534848484848, 0.296472727272727, 0.301410606060606, 0.306348484848485, 0.311286363636364, 0.316224242424242, 0.321162121212121, 0.3261, 0.331037878787879, 0.335975757575758, 0.340913636363636, 0.345851515151515, 0.350789393939394, 0.355727272727273, 0.360665151515151, 0.36560303030303, 0.370540909090909, 0.375478787878788, 0.380416666666667, 0.385354545454545, 0.390292424242424, 0.395230303030303, 0.400168181818182, 0.405106060606061, 0.410043939393939, 0.414981818181818, 0.419919696969697, 0.424857575757576, 0.429795454545455, 0.434733333333333, 0.439671212121212, 0.444609090909091, 0.44954696969697, 0.454484848484848, 0.459422727272727, 0.464360606060606, 0.469298484848485, 0.474236363636364, 0.479174242424242, 0.484112121212121, 0.48905
